miss.id,condition,electrode,trial,group,region
102,Expected,4,36,ASD,RF
102,Expected,4,44,ASD,RF
102,Expected,4,45,ASD,RF
102,Expected,4,46,ASD,RF
102,Expected,4,47,ASD,RF
102,Expected,4,49,ASD,RF
102,Expected,4,51,ASD,RF
102,Expected,4,54,ASD,RF
102,Expected,4,55,ASD,RF
102,Expected,4,56,ASD,RF
102,Expected,4,57,ASD,RF
102,Expected,4,58,ASD,RF
102,Expected,4,60,ASD,RF
102,Expected,4,62,ASD,RF
102,Expected,4,71,ASD,RF
102,Expected,4,73,ASD,RF
102,Expected,5,36,ASD,ZF
102,Expected,5,44,ASD,ZF
102,Expected,5,45,ASD,ZF
102,Expected,5,46,ASD,ZF
102,Expected,5,47,ASD,ZF
102,Expected,5,49,ASD,ZF
102,Expected,5,51,ASD,ZF
102,Expected,5,54,ASD,ZF
102,Expected,5,55,ASD,ZF
102,Expected,5,56,ASD,ZF
102,Expected,5,57,ASD,ZF
102,Expected,5,58,ASD,ZF
102,Expected,5,60,ASD,ZF
102,Expected,5,62,ASD,ZF
102,Expected,5,71,ASD,ZF
102,Expected,5,73,ASD,ZF
102,Expected,11,36,ASD,ZF
102,Expected,11,44,ASD,ZF
102,Expected,11,45,ASD,ZF
102,Expected,11,46,ASD,ZF
102,Expected,11,47,ASD,ZF
102,Expected,11,49,ASD,ZF
102,Expected,11,51,ASD,ZF
102,Expected,11,54,ASD,ZF
102,Expected,11,55,ASD,ZF
102,Expected,11,56,ASD,ZF
102,Expected,11,57,ASD,ZF
102,Expected,11,58,ASD,ZF
102,Expected,11,60,ASD,ZF
102,Expected,11,62,ASD,ZF
102,Expected,11,71,ASD,ZF
102,Expected,11,73,ASD,ZF
102,Expected,12,36,ASD,ZF
102,Expected,12,44,ASD,ZF
102,Expected,12,45,ASD,ZF
102,Expected,12,46,ASD,ZF
102,Expected,12,47,ASD,ZF
102,Expected,12,49,ASD,ZF
102,Expected,12,51,ASD,ZF
102,Expected,12,54,ASD,ZF
102,Expected,12,55,ASD,ZF
102,Expected,12,56,ASD,ZF
102,Expected,12,57,ASD,ZF
102,Expected,12,58,ASD,ZF
102,Expected,12,60,ASD,ZF
102,Expected,12,62,ASD,ZF
102,Expected,12,71,ASD,ZF
102,Expected,12,73,ASD,ZF
102,Expected,16,36,ASD,ZF
102,Expected,16,44,ASD,ZF
102,Expected,16,45,ASD,ZF
102,Expected,16,46,ASD,ZF
102,Expected,16,47,ASD,ZF
102,Expected,16,49,ASD,ZF
102,Expected,16,51,ASD,ZF
102,Expected,16,54,ASD,ZF
102,Expected,16,55,ASD,ZF
102,Expected,16,56,ASD,ZF
102,Expected,16,57,ASD,ZF
102,Expected,16,58,ASD,ZF
102,Expected,16,60,ASD,ZF
102,Expected,16,62,ASD,ZF
102,Expected,16,71,ASD,ZF
102,Expected,16,73,ASD,ZF
102,Expected,19,36,ASD,LF
102,Expected,19,44,ASD,LF
102,Expected,19,45,ASD,LF
102,Expected,19,46,ASD,LF
102,Expected,19,47,ASD,LF
102,Expected,19,49,ASD,LF
102,Expected,19,51,ASD,LF
102,Expected,19,54,ASD,LF
102,Expected,19,55,ASD,LF
102,Expected,19,56,ASD,LF
102,Expected,19,57,ASD,LF
102,Expected,19,58,ASD,LF
102,Expected,19,60,ASD,LF
102,Expected,19,62,ASD,LF
102,Expected,19,71,ASD,LF
102,Expected,19,73,ASD,LF
102,Expected,20,36,ASD,LF
102,Expected,20,44,ASD,LF
102,Expected,20,45,ASD,LF
102,Expected,20,46,ASD,LF
102,Expected,20,47,ASD,LF
102,Expected,20,49,ASD,LF
102,Expected,20,51,ASD,LF
102,Expected,20,54,ASD,LF
102,Expected,20,55,ASD,LF
102,Expected,20,56,ASD,LF
102,Expected,20,57,ASD,LF
102,Expected,20,58,ASD,LF
102,Expected,20,60,ASD,LF
102,Expected,20,62,ASD,LF
102,Expected,20,71,ASD,LF
102,Expected,20,73,ASD,LF
102,Expected,24,36,ASD,LF
102,Expected,24,44,ASD,LF
102,Expected,24,45,ASD,LF
102,Expected,24,46,ASD,LF
102,Expected,24,47,ASD,LF
102,Expected,24,49,ASD,LF
102,Expected,24,51,ASD,LF
102,Expected,24,54,ASD,LF
102,Expected,24,55,ASD,LF
102,Expected,24,56,ASD,LF
102,Expected,24,57,ASD,LF
102,Expected,24,58,ASD,LF
102,Expected,24,60,ASD,LF
102,Expected,24,62,ASD,LF
102,Expected,24,71,ASD,LF
102,Expected,24,73,ASD,LF
102,Expected,27,36,ASD,LF
102,Expected,27,44,ASD,LF
102,Expected,27,45,ASD,LF
102,Expected,27,46,ASD,LF
102,Expected,27,47,ASD,LF
102,Expected,27,49,ASD,LF
102,Expected,27,51,ASD,LF
102,Expected,27,54,ASD,LF
102,Expected,27,55,ASD,LF
102,Expected,27,56,ASD,LF
102,Expected,27,57,ASD,LF
102,Expected,27,58,ASD,LF
102,Expected,27,60,ASD,LF
102,Expected,27,62,ASD,LF
102,Expected,27,71,ASD,LF
102,Expected,27,73,ASD,LF
102,Expected,66,36,ASD,LP
102,Expected,66,44,ASD,LP
102,Expected,66,45,ASD,LP
102,Expected,66,46,ASD,LP
102,Expected,66,47,ASD,LP
102,Expected,66,49,ASD,LP
102,Expected,66,51,ASD,LP
